"type,""code"",""message"",""context"",""selector"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Inicio</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(1) > a > div > span"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Considerações de Design</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > a > div > span"""
"error,""WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name"",""This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined."",""<input type=\""text\"" placeholder=\""Buscar\"" class=\""border border-gray-300 rounded-md px-2 py-1 pr-8\"" value=\""\"">"",""#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > input"""
"error,""WCAG2AA.Principle1.Guideline1_3.1_3_1.F68"",""This form field should be labelled in some way. Use the label element (either with a \""for\"" attribute or wrapped around the form field), or \""title\"", \""aria-label\"" or \""aria-labelledby\"" attributes as appropriate."",""<input type=\""text\"" placeholder=\""Buscar\"" class=\""border border-gray-300 rounded-md px-2 py-1 pr-8\"" value=\""\"">"",""#__next > div > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div > input"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Considerações de Design</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(2) > a > div > span"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Personas</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(3) > a > div > span"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Perguntas e Respostas</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(4) > a > div > span"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.NoTitleEl"",""A title should be provided for the document, using a non-empty title element in the head section."",""<head><meta charset=\""utf-8\""><meta nam...</head>"",""html > head"""
"error,""WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail"",""This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.38:1. Recommendation:  change background to #f7f8fa."",""<span class=\""text-md font-medium text-text-light\"">Sobre</span>"",""#__next > div > div:nth-child(1) > div > div:nth-child(2) > div:nth-child(5) > a > div > span"""
"error,""WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1"",""Iframe element requires a non-empty title attribute that identifies the frame."",""<iframe src=\""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.497609398409!2d-48.458639825915505!3d-1.4742696985118746!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x92a48dbe8d60aec1%3A0xfcadc7d40fe3a62d!2sHIT%20-%20Human%20Interaction..."",""#__next > div > div:nth-child(2) > div:nth-child(2) > div > iframe"""
